RSSI,LQI,BatteryLevel,BatteryDiff,AntennaAngle,Trust_Factor,Class
-31,106,2809,0.0,90,1.0,3
-32,106,2808,-1.0,90,0.0,0
-31,108,2810,2.0,90,0.85,2
-31,108,2807,-1.0,90,1.0,3
-31,107,2808,-1.0,90,1.0,3
-53,108,2807,-1.0,0,0.0,0
-32,106,2810,0.0,90,0.0,0
-31,108,2809,1.0,90,1.0,3
-31,108,2810,2.0,90,0.85,2
-31,108,2809,-1.0,90,1.0,3
-32,108,2807,-3.0,90,0.0,0
-31,108,2809,1.0,90,1.0,3
-31,107,2809,0.0,90,1.0,3
-31,107,2807,-1.0,90,1.0,3
-32,107,2807,-2.0,90,0.0,0
-31,107,2807,-2.0,90,0.0,0
-33,106,2810,2.0,90,0.0,0
-53,107,2808,-1.0,0,0.0,0
-31,107,2809,-1.0,90,1.0,3
-31,107,2808,-2.0,90,0.85,2
-31,106,2808,0.0,90,0.0,0
-62,108,2810,1.0,180,0.0,0
-31,108,2808,0.0,90,1.0,3
-32,107,2809,-2.0,90,0.0,0
-31,106,2810,2.0,90,0.85,2
-31,108,2807,-2.0,90,0.85,2
-32,108,2811,3.0,90,0.0,0
-31,108,2809,1.0,90,1.0,3
-31,107,2810,3.0,90,0.7,1
-32,107,2808,-2.0,90,0.0,0
-31,108,2807,-2.0,90,0.85,2
-32,106,2808,1.0,90,0.0,0
-61,107,2808,-2.0,180,0.0,0
-32,107,2810,1.0,90,0.0,0
-32,107,2809,1.0,90,0.0,0
-52,108,2810,3.0,0,0.0,0
-32,108,2808,-1.0,90,0.0,0
-31,104,2809,2.0,90,0.7,1
-32,107,2808,-1.0,90,0.0,0
-31,105,2808,1.0,90,0.85,2
-31,107,2809,-1.0,90,1.0,3
-31,108,2808,-1.0,90,1.0,3
-63,107,2809,2.0,180,0.0,0
-32,106,2808,-2.0,90,0.0,0
-31,107,2810,2.0,90,0.85,2
-31,108,2808,-2.0,90,0.85,2
-31,108,2808,0.0,90,1.0,3
-52,108,2809,2.0,0,0.0,0
-32,107,2808,-1.0,90,0.0,0
-62,107,2808,-2.0,180,0.0,0
-32,105,2810,3.0,90,0.0,0
-60,106,2809,2.0,180,0.0,0
-31,107,2810,1.0,90,1.0,3
-32,108,2809,-1.0,90,0.0,0
-53,107,2807,-2.0,0,0.0,0
-32,108,2809,2.0,90,0.0,0
-31,106,2808,1.0,90,1.0,3
-31,107,2808,-1.0,90,1.0,3
-61,108,2808,-2.0,180,0.0,0
-31,105,2808,-1.0,90,1.0,3
-31,107,2808,-1.0,90,1.0,3
-31,106,2809,4.0,90,0.0,0
-31,108,2810,2.0,90,0.85,2
-31,108,2809,0.0,90,1.0,3
-31,107,2808,1.0,90,1.0,3
-31,107,2808,1.0,90,1.0,3
-61,108,2809,2.0,180,0.0,0
-31,105,2808,0.0,90,0.0,0
-31,107,2808,-2.0,90,0.0,0
-32,108,2809,-1.0,90,0.0,0
-31,106,2808,0.0,90,1.0,3
-55,107,2809,1.0,0,0.0,0
-31,106,2809,2.0,90,0.0,0
-32,107,2808,0.0,90,0.0,0
-32,107,2810,1.0,90,0.0,0
-53,106,2810,3.0,0,0.0,0
-31,107,2810,1.0,90,0.85,2
-31,107,2810,2.0,90,0.85,2
-31,108,2809,1.0,90,1.0,3
-31,108,2809,1.0,90,1.0,3
-31,107,2808,1.0,90,0.0,0
-31,107,2809,-1.0,90,1.0,3
-31,102,2809,2.0,90,0.0,0
-61,108,2809,0.0,180,0.0,0
-31,107,2810,1.0,90,1.0,3
-32,108,2808,0.0,90,0.0,0
-31,107,2809,2.0,90,0.0,0
-31,107,2808,-2.0,90,0.85,2
-32,106,2810,2.0,90,0.0,0
-32,108,2808,-2.0,90,0.0,0
-31,107,2809,2.0,90,0.85,2
-31,105,2808,-2.0,90,0.85,2
-32,106,2808,-1.0,90,0.0,0
-31,106,2809,1.0,90,1.0,3
-31,106,2808,-1.0,90,1.0,3
-31,106,2809,1.0,90,0.0,0
-62,107,2809,0.0,180,0.0,0
-31,107,2808,-1.0,90,0.0,0
-32,108,2809,2.0,90,0.0,0
-32,108,2809,-2.0,90,0.0,0
-31,108,2810,2.0,90,0.85,2
-32,108,2810,2.0,90,0.0,0
-61,108,2808,-2.0,180,0.0,0
-62,108,2808,-2.0,180,0.0,0
-31,106,2809,-2.0,90,1.0,3
-53,108,2809,2.0,0,0.0,0
-31,108,2808,-1.0,90,1.0,3
-31,107,2808,-1.0,90,0.0,0
-31,107,2808,-1.0,90,1.0,3
-31,107,2809,4.0,90,0.0,0
-32,108,2809,0.0,90,0.0,0
-31,108,2808,-2.0,90,1.0,3
-31,108,2810,2.0,90,1.0,3
-32,108,2809,1.0,90,0.0,0
-32,108,2809,2.0,90,0.0,0
-32,107,2809,-1.0,90,0.0,0
-32,106,2808,-2.0,90,0.0,0
-31,108,2808,-1.0,90,1.0,3
-55,107,2808,-1.0,0,0.0,0
-31,107,2808,-1.0,90,1.0,3
-32,107,2809,0.0,90,0.0,0
-32,108,2809,2.0,90,0.0,0
