RSSI,LQI,BatteryLevel,BatteryDiff,AntennaAngle,Trust_Factor,Class
-68,108,2808,0.0,180,0.0,0
-81,104,2808,0.0,180,0.0,0
-68,107,2807,-1.0,180,0.0,0
-70,108,2810,3.0,180,0.0,0
-68,108,2808,-2.0,180,0.0,0
-71,106,2809,1.0,180,0.0,0
-69,108,2808,-1.0,180,0.0,0
-69,107,2810,2.0,180,0.0,0
-69,107,2807,-3.0,180,0.0,0
-71,107,2809,2.0,180,0.0,0
-71,107,2808,-1.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-70,107,2808,-2.0,180,0.0,0
-68,107,2809,1.0,180,0.0,0
-72,105,2807,-2.0,180,0.0,0
-74,106,2809,2.0,180,0.0,0
-72,106,2808,-1.0,180,0.0,0
-72,107,2808,0.0,180,0.0,0
-73,108,2808,0.0,180,0.0,0
-72,107,2809,1.0,180,0.0,0
-71,105,2807,-2.0,180,0.0,0
-71,107,2810,3.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,108,2809,1.0,180,0.0,0
-72,104,2808,-1.0,180,0.0,0
-72,107,2810,2.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,107,2809,1.0,180,0.0,0
-72,108,2807,-2.0,180,0.0,0
-72,108,2809,2.0,180,0.0,0
-72,106,2808,-1.0,180,0.0,0
-72,106,2810,2.0,180,0.0,0
-72,108,2809,-1.0,180,0.0,0
-72,107,2809,0.0,180,0.0,0
-72,108,2809,0.0,180,0.0,0
-72,108,2809,0.0,180,0.0,0
-72,105,2808,-1.0,180,0.0,0
-72,107,2808,0.0,180,0.0,0
-72,108,2807,-1.0,180,0.0,0
-72,107,2808,1.0,180,0.0,0
-72,108,2809,1.0,180,0.0,0
-72,108,2809,0.0,180,0.0,0
-72,108,2808,-1.0,180,0.0,0
-72,107,2809,1.0,180,0.0,0
-72,107,2808,-1.0,180,0.0,0
-72,106,2810,2.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-72,107,2807,-3.0,180,0.0,0
-72,107,2810,3.0,180,0.0,0
-72,105,2809,-1.0,180,0.0,0
-72,108,2810,1.0,180,0.0,0
-72,106,2808,-2.0,180,0.0,0
-72,108,2808,0.0,180,0.0,0
-72,107,2808,0.0,180,0.0,0
-72,107,2810,2.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,107,2810,2.0,180,0.0,0
-72,108,2809,-1.0,180,0.0,0
-72,107,2810,1.0,180,0.0,0
-72,106,2808,-2.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,108,2809,1.0,180,0.0,0
-72,108,2808,-1.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,108,2808,0.0,180,0.0,0
-72,106,2808,0.0,180,0.0,0
-72,107,2810,2.0,180,0.0,0
-72,107,2808,-2.0,180,0.0,0
-72,108,2811,3.0,180,0.0,0
-72,107,2809,-2.0,180,0.0,0
-72,108,2810,1.0,180,0.0,0
-72,108,2807,-3.0,180,0.0,0
-72,106,2810,3.0,180,0.0,0
-72,108,2808,-2.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-72,108,2808,-2.0,180,0.0,0
-72,108,2809,1.0,180,0.0,0
-72,106,2809,0.0,180,0.0,0
-72,107,2811,2.0,180,0.0,0
-72,107,2808,-3.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-72,108,2809,-1.0,180,0.0,0
-72,106,2810,1.0,180,0.0,0
-72,106,2809,-1.0,180,0.0,0
-72,107,2808,-1.0,180,0.0,0
-72,106,2808,0.0,180,0.0,0
-72,108,2810,2.0,180,0.0,0
-72,107,2809,-1.0,180,0.0,0
-72,106,2811,2.0,180,0.0,0
-72,108,2808,-3.0,180,0.0,0
-71,108,2809,1.0,180,0.0,0
-70,107,2808,-1.0,180,0.0,0
