RSSI,LQI,BatteryLevel,BatteryDiff,AntennaAngle
-52,108,2807,0.0,0
-53,107,2809,2.0,0
-52,108,2807,-2.0,0
-53,108,2809,2.0,0
-53,106,2807,-2.0,0
-53,105,2809,2.0,0
-53,106,2807,-2.0,0
-53,108,2809,2.0,0
-53,105,2807,-2.0,0
-53,106,2809,2.0,0
-53,108,2808,-1.0,0
-52,107,2809,1.0,0
-52,108,2807,-2.0,0
-55,108,2808,1.0,0
-53,108,2807,-1.0,0
-55,106,2809,2.0,0
-53,106,2808,-1.0,0
-55,108,2809,1.0,0
-52,108,2807,-2.0,0
-53,105,2810,3.0,0
-53,108,2808,-2.0,0
-53,106,2810,2.0,0
-53,107,2808,-2.0,0
-55,107,2808,0.0,0
-53,107,2807,-1.0,0
-52,108,2810,3.0,0
-52,108,2808,-2.0,0
-55,107,2810,2.0,0
-53,108,2805,-5.0,0
-52,108,2809,4.0,0
-55,108,2808,-1.0,0
-52,107,2809,1.0,0
-53,107,2807,-2.0,0
-53,108,2809,2.0,0
-53,108,2808,-1.0,0
-53,107,2809,1.0,0
-55,107,2808,-1.0,0
-53,108,2809,1.0,0
-52,108,2807,-2.0,0
-53,107,2809,2.0,0
-53,108,2808,-1.0,0
-52,108,2810,2.0,0
-55,108,2807,-3.0,0
-53,106,2809,2.0,0
-53,107,2807,-2.0,0
-52,107,2809,2.0,0
-55,107,2807,-2.0,0
-53,108,2808,1.0,0
-52,107,2808,0.0,0
-55,108,2808,0.0,0
-52,108,2808,0.0,0
-53,108,2808,0.0,0
-55,108,2808,0.0,0
-53,108,2809,1.0,0
-52,108,2805,-4.0,0
-53,107,2809,4.0,0
-52,108,2807,-2.0,0
-53,107,2809,2.0,0
-53,106,2805,-4.0,0
-52,108,2810,5.0,0
-52,108,2808,-2.0,0
-52,107,2808,0.0,0
-52,107,2805,-3.0,0
-53,108,2808,3.0,0
-52,108,2808,0.0,0
-53,106,2810,2.0,0
-53,108,2808,-2.0,0
-53,107,2808,0.0,0
-53,107,2805,-3.0,0
-53,108,2809,4.0,0
-55,108,2808,-1.0,0
-53,107,2811,3.0,0
-53,107,2807,-4.0,0
-53,107,2809,2.0,0
-53,108,2807,-2.0,0
-55,108,2810,3.0,0
-53,107,2807,-3.0,0
-53,107,2808,1.0,0
-52,107,2807,-1.0,0
-53,108,2809,2.0,0
-53,108,2808,-1.0,0
-53,106,2809,1.0,0
-55,108,2808,-1.0,0
-52,108,2810,2.0,0
-55,108,2808,-2.0,0
-55,108,2808,0.0,0
-52,108,2808,0.0,0
-52,108,2809,1.0,0
-52,107,2807,-2.0,0
-53,107,2808,1.0,0
-53,107,2808,0.0,0
-53,105,2808,0.0,0
-53,108,2808,0.0,0
-53,106,2809,1.0,0
-53,108,2808,-1.0,0
-53,107,2808,0.0,0
-53,107,2807,-1.0,0
-55,108,2808,1.0,0
-53,108,2807,-1.0,0
-55,108,2809,2.0,0
-52,107,2808,-1.0,0
-53,107,2808,0.0,0
-55,108,2808,0.0,0
-53,106,2810,2.0,0
-53,104,2807,-3.0,0
-52,108,2810,3.0,0
-53,108,2808,-2.0,0
-53,108,2808,0.0,0
-53,106,2807,-1.0,0
-53,107,2809,2.0,0
-53,108,2807,-2.0,0
-52,106,2808,1.0,0
-52,108,2808,0.0,0
-53,107,2808,0.0,0
-55,107,2807,-1.0,0
-55,108,2807,0.0,0
-55,108,2808,1.0,0
-52,108,2808,0.0,0
-52,108,2807,-1.0,0
-53,107,2808,1.0,0
-53,106,2808,0.0,0
-52,108,2808,0.0,0
-53,107,2807,-1.0,0
-53,107,2809,2.0,0
-53,108,2805,-4.0,0
-53,107,2809,4.0,0
-53,107,2805,-4.0,0
-53,108,2809,4.0,0
-52,108,2807,-2.0,0
-53,108,2810,3.0,0
-52,108,2808,-2.0,0
-53,107,2809,1.0,0
-53,107,2807,-2.0,0
-53,108,2809,2.0,0
-53,108,2808,-1.0,0
-53,107,2809,1.0,0
-53,108,2807,-2.0,0
-55,108,2809,2.0,0
-53,107,2807,-2.0,0
-53,106,2809,2.0,0
-53,107,2807,-2.0,0
-55,108,2808,1.0,0
-52,108,2807,-1.0,0
-53,108,2808,1.0,0
-55,108,2807,-1.0,0
-53,106,2808,1.0,0
-53,108,2808,0.0,0
-53,108,2810,2.0,0
-53,107,2807,-3.0,0
-52,108,2808,1.0,0
-53,108,2807,-1.0,0
-53,106,2809,2.0,0
-53,106,2808,-1.0,0
-55,108,2809,1.0,0
-53,107,2808,-1.0,0
-53,107,2808,0.0,0
-53,107,2805,-3.0,0
-53,108,2809,4.0,0
-53,106,2808,-1.0,0
-53,108,2809,1.0,0
-53,107,2808,-1.0,0
-55,108,2809,1.0,0
-52,107,2808,-1.0,0
-53,108,2808,0.0,0
-52,108,2808,0.0,0
-53,108,2809,1.0,0
-53,106,2807,-2.0,0
-53,107,2808,1.0,0
-52,107,2808,0.0,0
-52,106,2808,0.0,0
-55,107,2808,0.0,0
-52,108,2808,0.0,0
-53,107,2807,-1.0,0
-52,108,2810,3.0,0
-52,108,2807,-3.0,0
-53,102,2808,1.0,0
-53,106,2808,0.0,0
-53,107,2809,1.0,0
-52,108,2807,-2.0,0
-53,108,2810,3.0,0
-53,107,2807,-3.0,0
-53,108,2808,1.0,0
-53,106,2807,-1.0,0
-53,108,2809,2.0,0
-53,108,2808,-1.0,0
-53,107,2808,0.0,0
-53,106,2807,-1.0,0
-52,108,2809,2.0,0
-53,107,2807,-2.0,0
-53,107,2808,1.0,0
-55,108,2807,-1.0,0
-52,108,2809,2.0,0
-53,106,2808,-1.0,0
-53,107,2810,2.0,0
-55,108,2807,-3.0,0
-53,107,2809,2.0,0
-53,108,2807,-2.0,0
-53,108,2809,2.0,0
-53,108,2808,-1.0,0
-53,106,2810,2.0,0
-53,108,2808,-2.0,0
-53,106,2809,1.0,0
-52,108,2807,-2.0,0
-53,108,2810,3.0,0
-53,107,2808,-2.0,0
-55,106,2808,0.0,0
-52,108,2807,-1.0,0
-52,107,2809,2.0,0
-53,108,2807,-2.0,0
-52,108,2808,1.0,0
-52,108,2808,0.0,0
-53,107,2809,1.0,0
-52,107,2807,-2.0,0
-53,108,2808,1.0,0
-52,107,2807,-1.0,0
-53,107,2808,1.0,0
-53,106,2805,-3.0,0
-53,105,2809,4.0,0
-53,107,2807,-2.0,0
-53,108,2808,1.0,0
-55,108,2808,0.0,0
-53,107,2809,1.0,0
-53,107,2807,-2.0,0
-53,106,2809,2.0,0
-55,107,2808,-1.0,0
-53,107,2809,1.0,0
-53,108,2808,-1.0,0
-53,107,2809,1.0,0
-53,108,2805,-4.0,0
-52,108,2810,5.0,0
-53,107,2808,-2.0,0
-53,108,2808,0.0,0
-52,107,2807,-1.0,0
-52,108,2808,1.0,0
-52,108,2809,1.0,0
-53,106,2809,0.0,0
-53,108,2807,-2.0,0
-53,108,2809,2.0,0
-55,108,2808,-1.0,0
-52,107,2809,1.0,0
-53,108,2807,-2.0,0
-53,107,2809,2.0,0
-53,107,2807,-2.0,0
-52,108,2808,1.0,0
-53,107,2808,0.0,0
-53,106,2808,0.0,0
-53,106,2808,0.0,0
-52,108,2809,1.0,0
-52,105,2807,-2.0,0
-53,107,2808,1.0,0
-52,107,2807,-1.0,0
-55,108,2809,2.0,0
-52,107,2808,-1.0,0
-53,108,2808,0.0,0
-53,108,2807,-1.0,0
-53,108,2808,1.0,0
-55,105,2808,0.0,0
-52,108,2809,1.0,0
-53,108,2808,-1.0,0
-53,106,2809,1.0,0
-53,108,2809,0.0,0
-52,107,2809,0.0,0
-53,107,2807,-2.0,0
-55,107,2808,1.0,0
-53,108,2807,-1.0,0
-53,108,2808,1.0,0
-53,106,2808,0.0,0
-52,108,2808,0.0,0
-52,108,2808,0.0,0
-53,108,2809,1.0,0
-53,106,2808,-1.0,0
-53,107,2809,1.0,0
-53,106,2808,-1.0,0
-52,108,2809,1.0,0
-53,108,2808,-1.0,0
-53,106,2810,2.0,0
-53,106,2808,-2.0,0
-53,107,2810,2.0,0
-55,107,2808,-2.0,0
-55,108,2809,1.0,0
-53,107,2808,-1.0,0
-53,107,2808,0.0,0
-52,108,2807,-1.0,0
-52,108,2809,2.0,0
-53,106,2808,-1.0,0
-53,107,2809,1.0,0
-52,107,2808,-1.0,0
-53,107,2808,0.0,0
-53,108,2807,-1.0,0
-52,108,2809,2.0,0
-53,106,2809,0.0,0
-53,108,2809,0.0,0
-53,107,2808,-1.0,0
-53,106,2809,1.0,0
-52,107,2807,-2.0,0
-52,108,2808,1.0,0
-53,108,2808,0.0,0
-53,106,2809,1.0,0
-53,108,2808,-1.0,0
-55,108,2809,1.0,0
-55,107,2809,0.0,0
-53,107,2808,-1.0,0
-52,107,2805,-3.0,0
-53,106,2808,3.0,0
-53,107,2808,0.0,0
-53,107,2808,0.0,0
-55,108,2807,-1.0,0
-52,107,2809,2.0,0
-53,105,2807,-2.0,0
-53,107,2808,1.0,0
-55,108,2808,0.0,0
-53,106,2809,1.0,0
-53,108,2808,-1.0,0
-53,106,2808,0.0,0
-53,107,2808,0.0,0
-53,106,2810,2.0,0
-55,107,2809,-1.0,0
-53,107,2808,-1.0,0
-53,108,2807,-1.0,0
-53,108,2810,3.0,0
-52,107,2808,-2.0,0
-52,108,2809,1.0,0
-53,107,2807,-2.0,0
-52,108,2810,3.0,0
-52,108,2808,-2.0,0
-53,107,2809,1.0,0
-53,108,2807,-2.0,0
-52,108,2810,3.0,0
-55,107,2807,-3.0,0
-55,107,2808,1.0,0
-53,107,2807,-1.0,0
-53,106,2810,3.0,0
-55,108,2808,-2.0,0
-53,108,2808,0.0,0
-52,107,2807,-1.0,0
-53,107,2809,2.0,0
-53,106,2807,-2.0,0
-53,107,2808,1.0,0
-53,107,2807,-1.0,0
-55,108,2809,2.0,0
-55,107,2805,-4.0,0
-53,108,2808,3.0,0
-53,107,2808,0.0,0
-53,105,2809,1.0,0
-52,108,2807,-2.0,0
-53,108,2810,3.0,0
-53,107,2807,-3.0,0
-53,106,2809,2.0,0
-52,108,2808,-1.0,0
-53,107,2811,3.0,0
-52,108,2807,-4.0,0
-53,107,2809,2.0,0
-53,107,2807,-2.0,0
-55,108,2809,2.0,0
-53,108,2808,-1.0,0
-53,108,2809,1.0,0
-52,108,2808,-1.0,0
-53,106,2810,2.0,0
-52,108,2807,-3.0,0
-55,108,2810,3.0,0
-53,106,2808,-2.0,0
-53,107,2809,1.0,0
-53,105,2808,-1.0,0
-53,108,2808,0.0,0
-53,107,2808,0.0,0
-52,108,2809,1.0,0
-52,108,2808,-1.0,0
-53,107,2808,0.0,0
-52,107,2808,0.0,0
-53,107,2808,0.0,0
-52,107,2807,-1.0,0
-52,108,2808,1.0,0
-53,107,2808,0.0,0
-53,107,2809,1.0,0
-53,107,2807,-2.0,0
-52,108,2808,1.0,0
-52,108,2808,0.0,0
-53,107,2809,1.0,0
-53,108,2807,-2.0,0
-53,107,2810,3.0,0
-55,106,2808,-2.0,0
-53,107,2810,2.0,0
-53,107,2808,-2.0,0
-53,106,2808,0.0,0
-53,108,2808,0.0,0
-52,108,2809,1.0,0
-53,107,2808,-1.0,0
-53,108,2809,1.0,0
-52,107,2808,-1.0,0
-53,108,2810,2.0,0
-52,106,2808,-2.0,0
-52,108,2809,1.0,0
-53,108,2808,-1.0,0
-52,106,2809,1.0,0
-53,107,2808,-1.0,0
-52,108,2809,1.0,0
-52,108,2808,-1.0,0
-53,107,2809,1.0,0
-53,108,2807,-2.0,0
-53,106,2810,3.0,0
-52,107,2808,-2.0,0
-52,106,2810,2.0,0
-53,108,2808,-2.0,0
-55,107,2810,2.0,0
-53,108,2808,-2.0,0
-53,108,2809,1.0,0
-53,107,2808,-1.0,0
-53,106,2809,1.0,0
-52,107,2808,-1.0,0
-53,108,2808,0.0,0
-52,107,2808,0.0,0
-55,107,2809,1.0,0
-53,107,2807,-2.0,0
-53,107,2808,1.0,0
-53,107,2807,-1.0,0
-52,108,2808,1.0,0
-53,108,2809,1.0,0
-53,108,2810,1.0,0
-53,106,2807,-3.0,0
-53,108,2810,3.0,0
-53,108,2807,-3.0,0
-55,107,2810,3.0,0
-55,108,2807,-3.0,0
-53,108,2810,3.0,0
-53,107,2807,-3.0,0
-53,108,2809,2.0,0
-52,107,2809,0.0,0
-53,107,2808,-1.0,0
-53,108,2805,-3.0,0
-53,104,2810,5.0,0
-53,108,2808,-2.0,0
-53,107,2810,2.0,0
-53,107,2808,-2.0,0
-52,108,2809,1.0,0
-52,107,2807,-2.0,0
-53,108,2808,1.0,0
-53,108,2808,0.0,0
-52,107,2808,0.0,0
-52,107,2807,-1.0,0
-55,107,2809,2.0,0
-53,107,2807,-2.0,0
-53,107,2809,2.0,0
-53,107,2809,0.0,0
-53,107,2808,-1.0,0
-52,108,2807,-1.0,0
-53,108,2809,2.0,0
-55,108,2808,-1.0,0
-55,108,2809,1.0,0
-53,108,2808,-1.0,0
-53,108,2808,0.0,0
-53,106,2808,0.0,0
-52,108,2809,1.0,0
-55,106,2808,-1.0,0
-52,107,2810,2.0,0
-53,108,2808,-2.0,0
-53,106,2808,0.0,0
-53,107,2808,0.0,0
-55,108,2807,-1.0,0
-53,108,2808,1.0,0
-53,107,2809,1.0,0
-52,108,2807,-2.0,0
-55,108,2808,1.0,0
-53,106,2807,-1.0,0
-53,107,2811,4.0,0
-52,107,2807,-4.0,0
-53,107,2809,2.0,0
-52,107,2807,-2.0,0
-53,107,2809,2.0,0
-53,107,2808,-1.0,0
-55,108,2808,0.0,0
-53,106,2808,0.0,0
-53,107,2810,2.0,0
-53,107,2807,-3.0,0
-53,107,2809,2.0,0
-53,108,2807,-2.0,0
-52,107,2809,2.0,0
-53,107,2808,-1.0,0
-53,108,2809,1.0,0
-53,108,2808,-1.0,0
-52,107,2810,2.0,0
-52,108,2807,-3.0,0
-53,107,2810,3.0,0
-53,106,2808,-2.0,0
-52,108,2809,1.0,0
-52,108,2807,-2.0,0
-53,107,2809,2.0,0
-53,107,2808,-1.0,0
-55,108,2808,0.0,0
-53,102,2807,-1.0,0
-53,108,2810,3.0,0
-55,108,2808,-2.0,0
-52,108,2809,1.0,0
-53,107,2807,-2.0,0
-53,107,2808,1.0,0
-52,106,2807,-1.0,0
-53,108,2809,2.0,0
-55,107,2808,-1.0,0
-53,108,2808,0.0,0
-53,106,2807,-1.0,0
-55,108,2810,3.0,0
-52,108,2808,-2.0,0
-53,108,2809,1.0,0
-53,106,2808,-1.0,0
-53,108,2810,2.0,0
-53,107,2808,-2.0,0
